A_code,B_code,A/b,B/a,A*B
WEAK20-25 (N=115),WEAK20-31 (N=40),115,40,0
WEAK20-25 (N=115),WEAK20-32 (N=42),115,42,0
WEAK20-25 (N=115),NS21-33 (N=6),115,6,0
WEAK20-25 (N=115),NS21-35 (N=8),115,8,0
WEAK20-25 (N=115),NS21-37 (N=11),115,11,0
WEAK20-25 (N=115),NS21-38 (N=99),115,99,0
WEAK20-25 (N=115),NS21-39 (N=42),115,42,0
WEAK20-26 (N=9),WEAK20-27 (N=37),9,37,0
WEAK20-26 (N=9),WEAK20-28 (N=38),9,38,0
WEAK20-26 (N=9),WEAK20-29 (N=2),9,2,0
WEAK20-26 (N=9),WEAK20-30 (N=22),9,22,0
WEAK20-26 (N=9),WEAK20-31 (N=40),9,40,0
WEAK20-26 (N=9),WEAK20-32 (N=42),9,42,0
WEAK20-26 (N=9),NS21-33 (N=6),9,6,0
WEAK20-26 (N=9),NS21-35 (N=8),9,8,0
WEAK20-26 (N=9),NS21-36 (N=153),9,153,0
WEAK20-26 (N=9),NS21-38 (N=99),9,99,0
WEAK20-26 (N=9),NS21-39 (N=42),9,42,0
WEAK20-27 (N=37),WEAK20-28 (N=38),37,38,0
WEAK20-27 (N=37),WEAK20-29 (N=2),37,2,0
WEAK20-27 (N=37),WEAK20-30 (N=22),37,22,0
WEAK20-27 (N=37),WEAK20-31 (N=40),37,40,0
WEAK20-27 (N=37),WEAK20-32 (N=42),37,42,0
WEAK20-27 (N=37),NS21-33 (N=6),37,6,0
WEAK20-27 (N=37),NS21-35 (N=8),37,8,0
WEAK20-27 (N=37),NS21-36 (N=153),37,153,0
WEAK20-27 (N=37),NS21-37 (N=11),37,11,0
WEAK20-27 (N=37),NS21-39 (N=42),37,42,0
WEAK20-28 (N=38),WEAK20-29 (N=2),38,2,0
WEAK20-28 (N=38),WEAK20-30 (N=22),38,22,0
WEAK20-28 (N=38),WEAK20-31 (N=40),38,40,0
WEAK20-28 (N=38),WEAK20-32 (N=42),38,42,0
WEAK20-28 (N=38),NS21-33 (N=6),38,6,0
WEAK20-28 (N=38),NS21-35 (N=8),38,8,0
WEAK20-28 (N=38),NS21-37 (N=11),38,11,0
WEAK20-28 (N=38),NS21-38 (N=99),38,99,0
WEAK20-28 (N=38),NS21-39 (N=42),38,42,0
WEAK20-29 (N=2),WEAK20-30 (N=22),2,22,0
WEAK20-29 (N=2),WEAK20-31 (N=40),2,40,0
WEAK20-29 (N=2),WEAK20-32 (N=42),2,42,0
WEAK20-29 (N=2),NS21-33 (N=6),2,6,0
WEAK20-29 (N=2),NS21-35 (N=8),2,8,0
WEAK20-29 (N=2),NS21-36 (N=153),2,153,0
WEAK20-29 (N=2),NS21-38 (N=99),2,99,0
WEAK20-29 (N=2),NS21-39 (N=42),2,42,0
WEAK20-30 (N=22),WEAK20-31 (N=40),22,40,0
WEAK20-30 (N=22),WEAK20-32 (N=42),22,42,0
WEAK20-30 (N=22),NS21-33 (N=6),22,6,0
WEAK20-30 (N=22),NS21-35 (N=8),22,8,0
WEAK20-30 (N=22),NS21-36 (N=153),22,153,0
WEAK20-30 (N=22),NS21-37 (N=11),22,11,0
WEAK20-30 (N=22),NS21-39 (N=42),22,42,0
WEAK20-31 (N=40),WEAK20-32 (N=42),40,42,0
WEAK20-31 (N=40),NS21-33 (N=6),40,6,0
WEAK20-31 (N=40),NS21-35 (N=8),40,8,0
WEAK20-31 (N=40),NS21-36 (N=153),40,153,0
WEAK20-31 (N=40),NS21-37 (N=11),40,11,0
WEAK20-31 (N=40),NS21-39 (N=42),40,42,0
WEAK20-32 (N=42),NS21-33 (N=6),42,6,0
WEAK20-32 (N=42),NS21-35 (N=8),42,8,0
WEAK20-32 (N=42),NS21-36 (N=153),42,153,0
WEAK20-32 (N=42),NS21-37 (N=11),42,11,0
WEAK20-32 (N=42),NS21-38 (N=99),42,99,0
WEAK20-32 (N=42),KA94-01 (N=277),42,277,0
WEAK20-32 (N=42),WEAK20-23 (N=271),42,271,0
WEAK20-32 (N=42),NS21-34 (N=271),42,271,0
NS21-33 (N=6),NS21-35 (N=8),6,8,0
NS21-33 (N=6),NS21-36 (N=153),6,153,0
NS21-33 (N=6),NS21-37 (N=11),6,11,0
NS21-33 (N=6),NS21-38 (N=99),6,99,0
NS21-33 (N=6),NS21-39 (N=42),6,42,0
NS21-33 (N=6),WEAK20-23 (N=271),6,271,0
NS21-33 (N=6),NS21-34 (N=271),6,271,0
NS21-35 (N=8),NS21-36 (N=153),8,153,0
NS21-35 (N=8),NS21-37 (N=11),8,11,0
NS21-35 (N=8),NS21-38 (N=99),8,99,0
NS21-35 (N=8),NS21-39 (N=42),8,42,0
NS21-36 (N=153),NS21-37 (N=11),153,11,0
NS21-36 (N=153),NS21-38 (N=99),153,99,0
NS21-36 (N=153),NS21-39 (N=42),153,42,0
NS21-37 (N=11),NS21-38 (N=99),11,99,0
NS21-37 (N=11),NS21-39 (N=42),11,42,0
NS21-38 (N=99),NS21-39 (N=42),99,42,0
NS21-39 (N=42),KA94-01 (N=277),42,277,0
NS21-39 (N=42),WEAK20-23 (N=271),42,271,0
NS21-39 (N=42),NS21-34 (N=271),42,271,0
